"Date","Topic","Reading","participate","callout","agenda1","agenda2","agenda3","agenda4","agenda5","due_ymd","due","Week","date_ymd","Slides","Activity","submit_act","Tutorial","Lectures","Solutions","Solution_video","reading_hw"
"Wed Jan 03","Introduction","Syllabus","[https:://ahaslides.com/202STAT](https://ahaslides.com/202STAT)","","Review the syllabus","Visit the course's [Campuswire page](https://campuswire.com/p/G94567F0C) using your @u.northwestern.edu email. Enrollment code: 2752","Gain access to the Posit Cloud Class Workspace by clicking [here](https://posit.cloud/spaces/321338/join?access_code=U7NvtBZJiVKqaJJtZr0-BFeZ2DL5O8ez2uB9KUkc)","Complete the google [survey](https://forms.gle/JntwkRXZbZResoWk6) - we will use this data later in the quarter.","Create a [Northwestern Zoom Account](https://northwestern.zoom.us/)",2024-01-04,"Thu Jan 04","1",2024-01-03,"[Slides: Intro](/slides/lec00.html)","[Posit: practice](https://posit.cloud/spaces/321338/content/5176500)","","[Canvas: RC_01](https://canvas.northwestern.edu/courses/204767/assignments/1328825)","[Lecture 1: No Video]()","","","[Preface & Ch 1](https://nustat.github.io/intro-stat-data-sci/)"
"Fri Jan 05","Posit Cloud","[Preface & Ch 1](https://nustat.github.io/intro-stat-data-sci/)","[https:://ahaslides.com/202STAT](https://ahaslides.com/202STAT)","","","","","","",2024-01-07,"Sun Jan 07","",2024-01-05,"[Slides: Ch1](/slides/lec01.html)","[Posit: act_01](https://posit.cloud/spaces/321338/content/5176475)","[Canvas: act_01](https://canvas.northwestern.edu/courses/204767/assignments/1328767)","[Canvas: RC_02](https://canvas.northwestern.edu/courses/204767/assignments/1328826)","[Lecture 2: Activity 01](https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=3880bbbd-cb91-4bf2-885e-af1a017fb5fd)","[Activity 1 Solution](/documents/solutions/solution_act_01.html)","[Activity 1 video](https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=3880bbbd-cb91-4bf2-885e-af1a017fb5fd)","[Sections 2.0 - 2.3](https://nustat.github.io/intro-stat-data-sci/02-visualization.html)"
"Mon Jan 08","Data Visualization","[Sections 2.0 - 2.3](https://nustat.github.io/intro-stat-data-sci/02-visualization.html)","[https:://ahaslides.com/202STAT](https://ahaslides.com/202STAT)","","","","","","",2024-01-09,"Tue Jan 09","2",2024-01-08,"[Slides: Ch2a](/slides/lec02.html)","[Posit: act_02](https://posit.cloud/spaces/321338/content/5176479)","[Canvas: act_02](https://canvas.northwestern.edu/courses/204767/assignments/1328768)","[Canvas: RC_03](https://canvas.northwestern.edu/courses/204767/assignments/1328827)","[Lecture 3: Scatterplots](https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=77cf2081-1537-4f07-a16a-af2300dd1bbe)","[Activity 2 Solution](/documents/solutions/solution_act_02.html)","","[Sections 2.4 - 2.6](https://nustat.github.io/intro-stat-data-sci/02-visualization.html)"
"Wed Jan 10","Data Visualization","[Sections 2.4 - 2.6](https://nustat.github.io/intro-stat-data-sci/02-visualization.html)","[https:://ahaslides.com/202STAT](https://ahaslides.com/202STAT)","","","","","","",2024-01-11,"Thu Jan 11","",2024-01-10,"[Slides: Ch2b](/slides/lec03.html)","[Posit: act_03](https://posit.cloud/spaces/321338/content/5176480)","[Canvas: act_03](https://canvas.northwestern.edu/courses/204767/assignments/1328769)","[Canvas: RC_04](https://canvas.northwestern.edu/courses/204767/assignments/1328828)","[Lecture 4: Linegraphs and Histograms](https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=944356c2-8c93-4693-9701-af24012bd707)","[Activity 3 Solution](/documents/solutions/solution_act_03.html)","","[Sections 2.7 - 2.9](https://nustat.github.io/intro-stat-data-sci/02-visualization.html)"
"Fri Jan 12","Data Visualization","[Sections 2.7 - 2.9](https://nustat.github.io/intro-stat-data-sci/02-visualization.html)","[https:://ahaslides.com/202STAT](https://ahaslides.com/202STAT)","","","","","","",2024-01-16,"Tue Jan 16","",2024-01-12,"[Slides: Ch2c](/slides/lec04.html)","[Posit: act_04](https://posit.cloud/spaces/321338/content/5176481)","[Canvas: act_04](https://canvas.northwestern.edu/courses/204767/assignments/1328770)","[Canvas: RC_05](https://canvas.northwestern.edu/courses/204767/assignments/1328829)","[Lecture 5:Boxplots and Barplots](https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=4741c17a-3d55-4055-b3c9-af2401396969)","[Activity 4 Solution](/documents/solutions/solution_act_04.html)","",""
"Mon Jan 15","MLK Day - No Class","","","","","","","","",2024-01-16,"Tue Jan 16","3",2024-01-15,"","","[Canvas: act_04](https://canvas.northwestern.edu/courses/204767/assignments/1328770)","[Canvas: RC_05](https://canvas.northwestern.edu/courses/204767/assignments/1328829)","","","","[Sections 3.0 - 3.3](https://nustat.github.io/intro-stat-data-sci/03-wrangling.html)"
"Wed Jan 17","Data Wrangling","[Sections 3.0 - 3.3](https://nustat.github.io/intro-stat-data-sci/03-wrangling.html)","[https:://ahaslides.com/202STAT](https://ahaslides.com/202STAT)","","","","","","",2024-01-18,"Thu Jan 18","",2024-01-17,"[Slides: Ch3a](/slides/lec05.html)","[Posit: act_05](https://posit.cloud/spaces/321338/content/5176483)","[Canvas: act_05](https://canvas.northwestern.edu/courses/204767/assignments/1328771)","[Canvas: RC_06](https://canvas.northwestern.edu/courses/204767/assignments/1328830)","[Lecture 6: Wrangling I](https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=344a1e1c-b6b6-4fe1-a36c-af2600f651b4)","[Activity 5 Solution](/documents/solutions/solution_act_05.html)","","[Sections 3.4 - 3.9](https://nustat.github.io/intro-stat-data-sci/03-wrangling.html)"
"Fri Jan 19","Data Wrangling","[Sections 3.4 - 3.9](https://nustat.github.io/intro-stat-data-sci/03-wrangling.html)","[https:://ahaslides.com/202STAT](https://ahaslides.com/202STAT)","","","","","","",2024-01-21,"Sun Jan 21","",2024-01-19,"[Slides: Ch3b](/slides/lec06.html)","[Posit: act_06](https://posit.cloud/spaces/321338/content/5176484)","[Canvas: act_06](https://canvas.northwestern.edu/courses/204767/assignments/1328772)","[Canvas: RC_07](https://canvas.northwestern.edu/courses/204767/assignments/1328831)","[Lecture 7: Wrangling II](https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=fa1fa194-da3a-458a-9dc5-af2600f6bb7c)","[Activity 6 Solution](/documents/solutions/solution_act_06.html)","","[Chapter 4](https://nustat.github.io/intro-stat-data-sci/04-tidy.html)"
"Mon Jan 22","Tidy Data","[Chapter 4](https://nustat.github.io/intro-stat-data-sci/04-tidy.html)","[https:://ahaslides.com/202PART1](https://ahaslides.com/202PART1)","Study for Exam 1","","","","","",2024-01-23,"Tue Jan 23","4",2024-01-22,"[Slides: Ch4](/slides/lec07.html)","[Posit: act_07](https://posit.cloud/spaces/321338/content/5176485)","[Canvas: act_07](https://canvas.northwestern.edu/courses/204767/assignments/1328773)","","[Lecture 8: No Video]()","[Activity 7 Solution](/documents/solutions/solution_act_07.html)","",""
"Wed Jan 24","Exam 1","","","","[Take Exam](https://posit.cloud/spaces/321338/content/6744809)","[Submit Exam](https://canvas.northwestern.edu/courses/204767/assignments/1328816)","","","",2024-01-25,"Thu Jan 25","",2024-01-24,"","","","[Canvas: RC_08](https://canvas.northwestern.edu/courses/204767/assignments/1328832)","","","","[Sections 5.0 - 5.1](https://nustat.github.io/intro-stat-data-sci/05-regression.html)"
