Topic,Reading,ReadingLink,slide_icon,slide_link,activity_icon,activity_link,submit_icon,submit_link,tutorial_icon,tutorial_link,participate,solution_icon,solution_link,solution_video_icon,solution_video_link,lecture_icon,lecture_link,callout,agenda1,agenda2,agenda3,agenda4,agenda5
Introduction,Syllabus,,[Slides: Intro],(/slides/lec00.html),[Posit: practice],(https://posit.cloud/spaces/321338/content/5176500),,,[Canvas: RC_01],(https://canvas.northwestern.edu/courses/204767/assignments/1328825),[https:://ahaslides.com/202STAT](https://ahaslides.com/202STAT),,,,,[Lecture 1: No Video],(),,Review the syllabus,Visit the course's [Campuswire page](https://campuswire.com/p/G94567F0C) using your @u.northwestern.edu email. Enrollment code: 2752,Gain access to the Posit Cloud Class Workspace by clicking [here](https://posit.cloud/spaces/321338/join?access_code=U7NvtBZJiVKqaJJtZr0-BFeZ2DL5O8ez2uB9KUkc),Complete the google [survey](https://forms.gle/JntwkRXZbZResoWk6) - we will use this data later in the quarter.,Create a [Northwestern Zoom Account](https://northwestern.zoom.us/)
Posit Cloud,[Preface & Ch 1],(https://nustat.github.io/intro-stat-data-sci/),[Slides: Ch1],(/slides/lec01.html),[Posit: act_01],(https://posit.cloud/spaces/321338/content/5176475),[Canvas: act_01],(https://canvas.northwestern.edu/courses/204767/assignments/1328767),[Canvas: RC_02],(https://canvas.northwestern.edu/courses/204767/assignments/1328826),[https:://ahaslides.com/202STAT](https://ahaslides.com/202STAT),[Activity 1 Solution],(/documents/solutions/solution_act_01.html),[Activity 1 video],(https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=3880bbbd-cb91-4bf2-885e-af1a017fb5fd),[Lecture 2: Activity 01],(https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=3880bbbd-cb91-4bf2-885e-af1a017fb5fd),,,,,,
Data Visualization,[Sections 2.0 - 2.3],(https://nustat.github.io/intro-stat-data-sci/02-visualization.html),[Slides: Ch2a],(/slides/lec02.html),[Posit: act_02],(https://posit.cloud/spaces/321338/content/5176479),[Canvas: act_02],(https://canvas.northwestern.edu/courses/204767/assignments/1328768),[Canvas: RC_03],(https://canvas.northwestern.edu/courses/204767/assignments/1328827),[https:://ahaslides.com/202STAT](https://ahaslides.com/202STAT),[Activity 2 Solution],(/documents/solutions/solution_act_02.html),,,[Lecture 3: Scatterplots],(https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=77cf2081-1537-4f07-a16a-af2300dd1bbe),,,,,,
Data Visualization,[Sections 2.4 - 2.6],(https://nustat.github.io/intro-stat-data-sci/02-visualization.html),[Slides: Ch2b],(/slides/lec03.html),[Posit: act_03],(https://posit.cloud/spaces/321338/content/5176480),[Canvas: act_03],(https://canvas.northwestern.edu/courses/204767/assignments/1328769),[Canvas: RC_04],(https://canvas.northwestern.edu/courses/204767/assignments/1328828),[https:://ahaslides.com/202STAT](https://ahaslides.com/202STAT),[Activity 3 Solution],(/documents/solutions/solution_act_03.html),,,[Lecture 4: Linegraphs and Histograms],(https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=944356c2-8c93-4693-9701-af24012bd707),,,,,,
Data Visualization,[Sections 2.7 - 2.9],(https://nustat.github.io/intro-stat-data-sci/02-visualization.html),[Slides: Ch2c],(/slides/lec04.html),[Posit: act_04],(https://posit.cloud/spaces/321338/content/5176481),[Canvas: act_04],(https://canvas.northwestern.edu/courses/204767/assignments/1328770),[Canvas: RC_05],(https://canvas.northwestern.edu/courses/204767/assignments/1328829),[https:://ahaslides.com/202STAT](https://ahaslides.com/202STAT),[Activity 4 Solution],(/documents/solutions/solution_act_04.html),,,[Lecture 5: Boxplots and Barplots],(https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=4741c17a-3d55-4055-b3c9-af2401396969),,,,,,
Data Wrangling,[Sections 3.0 - 3.3],(https://nustat.github.io/intro-stat-data-sci/03-wrangling.html),[Slides: Ch3a],(/slides/lec05.html),[Posit: act_05],(https://posit.cloud/spaces/321338/content/5176483),[Canvas: act_05],(https://canvas.northwestern.edu/courses/204767/assignments/1328771),[Canvas: RC_06],(https://canvas.northwestern.edu/courses/204767/assignments/1328830),[https:://ahaslides.com/202STAT](https://ahaslides.com/202STAT),[Activity 5 Solution],(/documents/solutions/solution_act_05.html),,,[Lecture 6: Wrangling I],(https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=344a1e1c-b6b6-4fe1-a36c-af2600f651b4),,,,,,
Data Wrangling,[Sections 3.4 - 3.9],(https://nustat.github.io/intro-stat-data-sci/03-wrangling.html),[Slides: Ch3b],(/slides/lec06.html),[Posit: act_06],(https://posit.cloud/spaces/321338/content/5176484),[Canvas: act_06],(https://canvas.northwestern.edu/courses/204767/assignments/1328772),[Canvas: RC_07],(https://canvas.northwestern.edu/courses/204767/assignments/1328831),[https:://ahaslides.com/202STAT](https://ahaslides.com/202STAT),[Activity 6 Solution],(/documents/solutions/solution_act_06.html),,,[Lecture 7: Wrangling II],(https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=fa1fa194-da3a-458a-9dc5-af2600f6bb7c),,,,,,
Tidy Data,[Chapter 4],(https://nustat.github.io/intro-stat-data-sci/04-tidy.html),[Slides: Ch4],(/slides/lec07.html),[Posit: act_07],(https://posit.cloud/spaces/321338/content/5176485),[Canvas: act_07],(https://canvas.northwestern.edu/courses/204767/assignments/1328773),,,[https:://ahaslides.com/202PART1](https://ahaslides.com/202PART1),[Activity 7 Solution],(/documents/solutions/solution_act_07.html),,,[Lecture 8: No Video],(),Study for Exam 1,,,,,
Exam 1,,,,,,,,,[Canvas: RC_08],(https://canvas.northwestern.edu/courses/204767/assignments/1328832),,[Practice Exam 1 Solution Video],(https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=00c180e9-0f71-485b-96dd-af2601498458),,,,,,[Take Exam](https://posit.cloud/spaces/321338/content/6744809),[Submit Exam](https://canvas.northwestern.edu/courses/204767/assignments/1328816),,,
Basic Regression,[Sections 5.0 - 5.1],(https://nustat.github.io/intro-stat-data-sci/05-regression.html),[Slides: Ch5a],(/slides/lec08.html),[Posit: act_08],(https://posit.cloud/spaces/321338/content/5176486),[Canvas: act_08],(https://canvas.northwestern.edu/courses/204767/assignments/1328774),[Canvas: RC_09],(https://canvas.northwestern.edu/courses/204767/assignments/1328833),[https:://ahaslides.com/202STAT](https://ahaslides.com/202STAT),[Activity 8 Solution],(/documents/solutions/solution_act_08.html),[Activity 8 video],(https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=b0a63fcc-e9a2-45cd-90f1-b03400ef62a3),[Lecture 9: Simple Regression I],(https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=8f0bf1d0-ebb4-46b1-999b-af3100e193f3),,[Complete Course Survey 1](https://canvas.northwestern.edu/courses/204767/quizzes/225310),,,,
Basic Regression,[Sections 5.2 - 5.4],(https://nustat.github.io/intro-stat-data-sci/05-regression.html),[Slides: Ch5b],(/slides/lec09.html),[Posit: act_09],(https://posit.cloud/spaces/321338/content/5176487),[Canvas: act_09],(https://canvas.northwestern.edu/courses/204767/assignments/1328775),[Canvas: RC_10],(https://canvas.northwestern.edu/courses/204767/assignments/1328834),[https:://ahaslides.com/202STAT](https://ahaslides.com/202STAT),[Activity 9 Solution],(/documents/solutions/solution_act_09.html),[Activity 9 video],(https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=6f9a2c54-723a-4242-9ce4-b03400f11557),[Lecture 10: Simple Regression II],(https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=b7c1ef24-441e-415b-b150-af32011aa969),,,,,,
Multiple Regression,[Sections 6.0 - 6.1],(https://nustat.github.io/intro-stat-data-sci/06-multiple-regression.html),[Slides: Ch6a],(/slides/lec10.html),[Posit: act_10],(https://posit.cloud/spaces/321338/content/5176488),[Canvas: act_10],(https://canvas.northwestern.edu/courses/204767/assignments/1328776),[Canvas: RC_11],(https://canvas.northwestern.edu/courses/204767/assignments/1328835),[https:://ahaslides.com/202STAT](https://ahaslides.com/202STAT),[Activity 10 Solution],(/documents/solutions/solution_act_10.html),[Activity 10 video],(https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=bb143a73-d80b-4686-ac69-b03600e6d005),[Lecture 11: Multiple Regression I],(https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=72afeb59-079d-416f-ac9c-af350153eb19),,,,,,
Multiple Regression,[Sections 6.2 - 6.4],(https://nustat.github.io/intro-stat-data-sci/06-multiple-regression.html),[Slides: Ch6b],(/slides/lec11.html),[Posit: act_11],(https://posit.cloud/spaces/321338/content/5176489),[Canvas: act_11],(https://canvas.northwestern.edu/courses/204767/assignments/1328777),[Canvas: RC_12],(https://canvas.northwestern.edu/courses/204767/assignments/1328836),[https:://ahaslides.com/202STAT](https://ahaslides.com/202STAT),[Activity 11 Solution],(/documents/solutions/solution_act_11.html),[Activity 11 video],(https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=c398ea1b-fe66-467a-93ae-b036014eebbf),[Lecture 12: Multiple Regression II],(https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=d4794527-3851-482a-babb-af3700e57afe),,,,,,
Randomization & Causality,[Chapter 7],(https://nustat.github.io/intro-stat-data-sci/07-causality.html),[Slides: Ch7],(/slides/lec12.html),[Posit: act_12],(https://posit.cloud/spaces/321338/content/5176490),[Canvas: act_12],(https://canvas.northwestern.edu/courses/204767/assignments/1328778),[Canvas: RC_13],(https://canvas.northwestern.edu/courses/204767/assignments/1328837),[https:://ahaslides.com/202STAT](https://ahaslides.com/202STAT),[Activity 12 Solution],(/documents/solutions/solution_act_12.html),[Activity 12 video],(https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=173fa82f-3e0c-4ae7-b2de-b0370114d897),[Lecture 13: Randomization],(https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=1b76b158-260d-41a4-a876-af3700ee61a2),,,,,,
Pop & Generalizability,[Chapter 8],(https://nustat.github.io/intro-stat-data-sci/08-populations.html),[Slides: Ch8],(/slides/lec13.html),[Posit: act_13],(https://posit.cloud/spaces/321338/content/5176491),[Canvas: act_13],(https://canvas.northwestern.edu/courses/204767/assignments/1328779),,,[https:://ahaslides.com/202STAT](https://ahaslides.com/202STAT),[Activity 13 Solution],(/documents/solutions/solution_act_13.html),[Activity 13 video],(https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=ba297f9a-eef5-45ef-85a7-b038010051d0),[Lecture 14: Generalizability],(https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=49a9cb84-ce4b-4568-b48b-af390150e946),Study for Exam 2,,,,,
Exam 2,,,,,,,,,,,,[Practice Exam 2 Solution Video],,,,,,,[Take Exam](https://posit.cloud/spaces/321338/content/5176509),[Submit Exam](https://canvas.northwestern.edu/courses/204767/assignments/1328817),,,
Normal Distributions,[Sections 9.0 - 9.1],(https://nustat.github.io/intro-stat-data-sci/09-sampling-distributions.html),[Slides: Ch9.1],(/slides/lec14.html),[Posit: act_14],(https://posit.cloud/spaces/321338/content/5176492),[Canvas: act_14],(https://canvas.northwestern.edu/courses/204767/assignments/1328780),[Canvas: RC_14],(https://canvas.northwestern.edu/courses/204767/assignments/1328838),[https:://ahaslides.com/202STAT](https://ahaslides.com/202STAT),[Activity 14 Solution],(/documents/solutions/solution_act_14.pdf),,,[Lecture 15: Distributions],(https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=1a552f92-7185-411d-898d-af43012edc16),,[Complete Course Survey 2](https://canvas.northwestern.edu/courses/204767/quizzes/225311),[Act 14 Solution Check](https://canvas.northwestern.edu/courses/201484/quizzes/217348),,,
Sampling Distributions,[Sections 9.2 - 9.3],(https://nustat.github.io/intro-stat-data-sci/09-sampling-distributions.html),[Slides: Ch9.2-9.3],(/slides/lec15.html),[Posit: act_15],(https://posit.cloud/spaces/321338/content/5176493),[Canvas: act_15],(https://canvas.northwestern.edu/courses/204767/assignments/1328781),[Canvas: RC_15],(https://canvas.northwestern.edu/courses/204767/assignments/1328839),[https:://ahaslides.com/202STAT](https://ahaslides.com/202STAT),[Activity 15 Solution],(/documents/solutions/solution_act_15.html),[Activity 15 video],(https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=df4c4f5a-3ef7-4fc2-8411-b03d01027790),[Lecture 16: Sampling I],(https://northwestern.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=7160f07a-338c-4b08-a6e3-af4400d5a295),,,,,,
