section,section_id,section_sis_id,submitted,attempt,"2253763: How would you rate the difficulty of the material in ""Part 1"" (Chapters 1-4)?",1.0,2253764: How would you rate the demands of theactivities?,1.0,"2253765: Not counting the time spent in class, on average how much time a week do you spend on STAT 202 outside of class (reading check, finishing activities, studying, etc.)",1.0,2253766: How would you rate the usefulness of the lecture slides?,1.0,2253767: What are your thoughts on the course website?,1.0,2253768: Which method do you usually use to complete reading checks?,1.0,"2253769: Have you experienced any technical difficulties with the reading checks (ie: completely freezes and need to click ""Start Over"" to get it to work)?",1.0,2253770: Provide your view on Aha Slides participation (can select multiple),1.0,"2253771: This class utilizes an active learning teaching style (partially flipped).
Provide your opinions on the teaching style.",1.0,2253772: How would you rate thedifficultyof Exam 1?,1.0,"2253773: How would you rate the fairness ofExam 1?
Fair means the material was covered in the course and you should be expected to know it.
(difficult does not mean the exam was unfair)",1.0,"2253774: Please provide any general thoughts or critiques you may have concerning the material (Chapter 1-4) and its use in class. If none, leave blank.
If you think that some of the material is stupid or worthless, then feel free to say so. However please indicate why you think it is stupid or worthless.
Similarly, if you think the material is wonderful and perfect, then feel free to say so. However please indicate why you think it is wonderful and perfect.
I rely on your feedback for improving this course for future students!",1.0,n correct,n incorrect,score
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-18 18:15:47 UTC,1,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,app link,1.0,1-2 times,0.0,"Aha slides makes lectures more engaging,No opinion on Aha slides",0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,4- Somewhat difficult,0.0,4 - fair,0.0,"",0.0,5,7,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-18 18:03:13 UTC,1,2 - Somewhat easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,app link,1.0,No issues,1.0,"Aha slides provides no benefit to the lecture,No opinion on Aha slides",0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,"",0.0,6,6,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-17 03:56:53 UTC,1,5 - Very difficult,1.0,5 - Too demanding,1.0,3-5 hours,0.0,3 - Neutral (don't care one way or another),0.0,Love it - organized and easy to use,1.0,app link,1.0,No issues,1.0,Aha slides provides no benefit to the lecture,0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,5 - Very difficult,1.0,2 - not fair,0.0,I think class is good. I would recommend giving us a little more time for exams because it is difficult to finish in that time frame. ,0.0,8,4,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-17 01:58:18 UTC,1,4- Somewhat difficult,0.0,4 -,0.0,1-3 hours,0.0,3 - Neutral (don't care one way or another),0.0,Love it - organized and easy to use,1.0,app link,1.0,1-2 times,0.0,Aha slides makes lectures more engaging,1.0,Would prefer fully flipped! (Watch lecture videos outside of class and spend entire time working on activity.),0.0,4- Somewhat difficult,0.0,3 - Neither fair nor unfair,0.0,"",0.0,4,8,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-16 18:08:12 UTC,1,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,3 - Neutral (don't care one way or another),0.0,Love it - organized and easy to use,1.0,app link,1.0,No issues,1.0,Aha slides makes lectures more engaging,1.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,4- Somewhat difficult,0.0,3 - Neither fair nor unfair,0.0,I've enjoyed all of the material so far. I don't see any material as useless. I think all the modules have served a clear purpose so far.,0.0,6,6,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-16 17:46:56 UTC,1,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,app link,1.0,No issues,1.0,Aha slides makes lectures more engaging,1.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,4- Somewhat difficult,0.0,5 - Very fair (all topics were covered),1.0,"",0.0,8,4,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-16 14:59:07 UTC,1,3 - Neither difficult nor easy,0.0,2 -,0.0,1-3 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,Posit Cloud Project,0.0,No issues,1.0,No opinion on Aha slides,0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,"I've enjoyed everything so far, especially how we've built a collaborative environment on Campuswire.",0.0,4,8,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-16 14:23:35 UTC,1,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,3 - Neutral (don't care one way or another),0.0,Love it - organized and easy to use,1.0,app link,1.0,No issues,1.0,No opinion on Aha slides,0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,4- Somewhat difficult,0.0,5 - Very fair (all topics were covered),1.0,I would say my main critique is my own fault: I didn't realize the class was centered on coding. I would've preferred learning more about analyzing statistics than generating them.,0.0,6,6,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-16 14:04:36 UTC,1,2 - Somewhat easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,app link,1.0,No issues,1.0,Aha slides provides no benefit to the lecture,0.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,"",0.0,6,6,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-16 04:35:07 UTC,1,4- Somewhat difficult,0.0,4 -,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Posit Cloud Project,0.0,No issues,1.0,Aha slides makes lectures more engaging,1.0,"I enjoy class as is (Lecture, activity, some solutions)",1.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,"",0.0,7,5,1.0
