section,section_id,section_sis_id,submitted,attempt,2253791: How many classes have you missed so far this quarter?,1.0,"2253792: If you had a choice, what is your ideal exam day?",1.0,"2253793: How would you rate the difficulty of the material in ""Part 2"" (Chapters 5-8)?",1.0,2253794: How would you rate the demands of theactivities?,1.0,"2253795: Not counting the time spent in class, on average how much time a week do you spend on STAT 202 outside of class (reading check, finishing activities, studying, etc.)",1.0,2253796: How would you rate the usefulness of the lecture slides?,1.0,2253797: What are your thoughts on the course website?,1.0,2253798: Which method do you usually use to complete the reading checks?,1.0,"2253799: I have had frequent ""loading issues"" with the reading checks (freezes and need to ""restart"" from beginning).",1.0,2253800: Provide your view on Aha Slides,1.0,2253801: Did you actually study for the exam?,1.0,2253802: How would you rate thedifficultyof Exam 2?,1.0,"2253803: How would you rate the fairness ofExam 2?
Fair means the material was covered in the course and you should be expected to know it.
(difficult does not mean the exam was unfair)",1.0,"2253804: If a future student were to ask the best way to study for an exam, what material would you suggest?",1.0,"2253805: Please provide any general thoughts or critiques you may have concerning the material (Chapter 5-8) and its use in class. If none, leave blank.
If you think that some of the material is stupid or worthless, then feel free to say so. However please indicate why you think it is stupid or worthless.
Similarly, if you think the material is wonderful and perfect, then feel free to say so. However please indicate why you think it is wonderful and perfect.
I rely on your feedback for improving this course for future students!",1.0,n correct,n incorrect,score
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-11-01 02:33:28 UTC,1,3 or 4,0.0,Wednesday,0.0,3 - Neither difficult nor easy,0.0,4 -,0.0,3-5 hours,0.0,3 - Neutral (don't care one way or another),0.0,Love it - organized and easy to use,1.0,Posit Cloud,1.0,No,1.0,No opinion on Aha Slides,0.0,Yes,1.0,4- Somewhat difficult,0.0,5 - Very fair (all topics were covered),1.0,"Practice Exam,Other",0.0,"",0.0,6,9,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-31 04:40:57 UTC,1,5 or more,0.0,Wednesday,0.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,5-7 hours,0.0,3 - Neutral (don't care one way or another),0.0,Love it - organized and easy to use,1.0,Link,0.0,1 - 3 times,0.0,No opinion on Aha Slides,0.0,Yes,1.0,4- Somewhat difficult,0.0,5 - Very fair (all topics were covered),1.0,"Review Activities,Review Reading Checks,Other",0.0,"",0.0,4,11,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-30 22:08:42 UTC,1,0,1.0,Friday,0.0,5 - Very difficult,1.0,3 - Demands were about right,0.0,3-5 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,Posit Cloud,1.0,Frequent issue,0.0,Aha Slides makes lectures more engaging,1.0,Not as much as I should have,0.0,5 - Very difficult,1.0,3 - Neither fair nor unfair,0.0,"Review Activities,Review Reading Checks,End of Chapter Textbook Exercises,Practice Exam",0.0,I wish we had the answers for the chapter question answers,0.0,7,8,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-30 20:06:40 UTC,1,0,1.0,Wednesday,0.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Don't care either way,0.0,Link,0.0,No,1.0,Aha Slides makes lectures more engaging,1.0,Yes,1.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,"Practice Exam,Other",0.0,"Overall I think the class is good. For the first exam I wish there was a way to see the answers for the practice exam, but there was a zoom meeting going over the answers for the second exam which was very helpful.",0.0,6,9,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-30 18:23:55 UTC,1,0,1.0,Monday,1.0,5 - Very difficult,1.0,4 -,0.0,5-7 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Posit Cloud,1.0,No,1.0,Aha Slides makes lectures more engaging,1.0,Yes,1.0,4- Somewhat difficult,0.0,3 - Neither fair nor unfair,0.0,"End of Chapter Textbook Exercises,Practice Exam",0.0,"I think it would be helpful to have more examples in the slides and/or textbook. For the most recent material, the textbook lately doesn't go into enough detail for me to be able to complete the activities on my own.",0.0,10,5,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-30 13:57:47 UTC,1,0,1.0,Wednesday,0.0,5 - Very difficult,1.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Posit Cloud,1.0,1 - 3 times,0.0,Aha Slides makes lectures more engaging,1.0,Yes,1.0,5 - Very difficult,1.0,5 - Very fair (all topics were covered),1.0,"Review Activities,Review Reading Checks,End of Chapter Textbook Exercises,Practice Exam",0.0,"",0.0,10,5,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-30 04:47:07 UTC,1,0,1.0,Monday,1.0,4- Somewhat difficult,0.0,4 -,0.0,5-7 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,Link,0.0,1 - 3 times,0.0,No opinion on Aha Slides,0.0,Yes,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,"Review Activities,Review Reading Checks,End of Chapter Textbook Exercises,Practice Exam,Other",0.0,"",0.0,5,10,1.0
2023FA_STAT_202-0_SEC21 Introduction to Statistics and Data Science,194484,4920_16417,2023-10-30 04:36:26 UTC,1,3 or 4,0.0,Wednesday,0.0,4- Somewhat difficult,0.0,4 -,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Hate it - go back to Canvas,0.0,Posit Cloud,1.0,1 - 3 times,0.0,No opinion on Aha Slides,0.0,Yes,1.0,5 - Very difficult,1.0,4 - fair,0.0,Practice Exam,0.0,"I think that exams should not be out of 35 points. I think there should also be solutions for practice exams released to everyone; it is no use to have a practice exam with no solutions. The class should also not take attendance. My personal view is that if you can get an A on the exam without showing up to class, your grade should not suffer from it. ",0.0,5,10,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-30 04:31:17 UTC,1,1 or 2,0.0,Monday,1.0,4- Somewhat difficult,0.0,4 -,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Link,0.0,No,1.0,Aha Slides provide no benefit to lecture,0.0,Not as much as I should have,0.0,3 - Neither difficult nor easy,0.0,3 - Neither fair nor unfair,0.0,"End of Chapter Textbook Exercises,Practice Exam",0.0,"I think the material was sometimes unclear. 

I wish the answers to the activities were released...!!",0.0,5,10,1.0
2023FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,194481,4920_16416,2023-10-30 04:25:16 UTC,1,3 or 4,0.0,Wednesday,0.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,Link,0.0,No,1.0,No opinion on Aha Slides,0.0,Yes,1.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,I believe that the activities are some of the most effective tools for learning the material! I really appreciate them,0.0,5,10,1.0
